File,NumCameras,CostFuncType,OldBestCost,NewResCost,NewOccCost,NewCombCost,OldZeroPct,NewZeroPct,NewMinCov,NewAvgCov
7Cams_Run_20260430_124241.mat,7,NaN,0.022933,258.693240,16.989566,1.312773,0.00,0.00,5,6.756
7Cams_Run_20260502_210262.mat,7,NaN,0.022933,258.693240,16.989566,1.312773,0.00,0.00,5,6.756
8Cams_Run_20260407_114591.mat,8,NaN,0.535419,452.854566,70.533432,2.344424,0.00,0.00,4,7.536
7Cams_Run_20251212_110736.mat,7,NaN,0.044639,802.915743,44.310551,4.064932,0.00,0.00,4,6.449
6Cams_Run_20260413_233229.mat,6,NaN,0.064528,1710.137447,143.269876,8.713494,0.00,0.00,2,5.407
6Cams_Run_20260416_085317.mat,6,NaN,0.017188,1837.087286,12.692194,9.199859,0.00,0.00,3,5.702
7Cams_Run_20260504_125810.mat,7,NaN,0.027447,4551.640967,20.189301,22.781147,0.00,0.00,5,6.787
6Cams_Run_20260331_032928.mat,6,NaN,0.079360,NaN,142.403222,NaN,0.00,0.00,2,5.331
6Cams_Run_20260331_063859.mat,6,NaN,0.085891,NaN,70.607373,NaN,0.00,0.00,2,5.691
6Cams_Run_20260331_094809.mat,6,NaN,0.123116,NaN,77.637310,NaN,0.00,0.00,3,5.803
6Cams_Run_20260331_125616.mat,6,NaN,0.104543,NaN,179.210626,NaN,0.00,0.00,2,4.961
6Cams_Run_20260331_181711.mat,6,NaN,0.058535,NaN,197.268373,NaN,0.00,0.00,3,5.123
6Cams_Run_20260331_194306.mat,6,NaN,0.072877,NaN,85.064294,NaN,0.00,0.00,3,5.576
6Cams_Run_20260401_071874.mat,6,NaN,7.912468,NaN,25.010265,NaN,0.00,0.00,1,5.498
6Cams_Run_20260401_130039.mat,6,NaN,0.054308,NaN,43.828475,NaN,0.00,0.00,3,5.689
6Cams_Run_20260401_164085.mat,6,NaN,0.057359,NaN,53.256247,NaN,0.00,0.00,3,5.779
6Cams_Run_20260401_201731.mat,6,NaN,0.060778,NaN,50.181657,NaN,0.00,0.00,3,5.645
6Cams_Run_20260402_070749.mat,6,NaN,0.034044,NaN,36.175979,NaN,0.00,0.00,3,5.699
6Cams_Run_20260410_121561.mat,6,NaN,0.079360,NaN,142.403222,NaN,0.00,0.00,2,5.331
6Cams_Run_20260413_132317.mat,6,NaN,0.079360,NaN,142.403222,NaN,0.00,0.00,2,5.331
6Cams_Run_20260413_202069.mat,6,NaN,0.079360,NaN,142.403222,NaN,0.00,0.00,2,5.331
6Cams_Run_20260414_024366.mat,6,NaN,0.054658,NaN,207.948948,NaN,0.00,0.00,1,4.206
6Cams_Run_20260414_055446.mat,6,NaN,0.104543,NaN,179.210626,NaN,0.00,0.00,2,4.961
6Cams_Run_20260414_090666.mat,6,NaN,0.104543,NaN,179.210626,NaN,0.00,0.00,2,4.961
6Cams_Run_20260414_095097.mat,6,NaN,0.058535,NaN,197.268373,NaN,0.00,0.00,3,5.123
6Cams_Run_20260414_103561.mat,6,NaN,0.058535,NaN,197.268373,NaN,0.00,0.00,3,5.123
6Cams_Run_20260414_112092.mat,6,NaN,0.058535,NaN,197.268373,NaN,0.00,0.00,3,5.123
6Cams_Run_20260415_141359.mat,6,NaN,3.564122,NaN,30.369447,NaN,0.00,0.00,3,5.543
